time,x,y,z,gforce
0.024,0.243,0.966,0.261,1.030
0.024,0.242,0.965,0.265,1.029
0.024,0.241,0.964,0.270,1.030
0.024,0.240,0.964,0.278,1.031
0.024,0.238,0.965,0.285,1.034
0.024,0.234,0.967,0.290,1.037
0.024,0.229,0.968,0.294,1.037
0.024,0.224,0.969,0.296,1.038
0.025,0.220,0.971,0.299,1.039
0.025,0.214,0.972,0.301,1.040
0.026,0.209,0.971,0.304,1.038
0.028,0.203,0.968,0.306,1.036
0.032,0.195,0.965,0.307,1.031
0.032,0.187,0.961,0.305,1.026
0.035,0.180,0.958,0.303,1.021
0.038,0.171,0.954,0.302,1.016
0.040,0.163,0.949,0.300,1.009
0.042,0.156,0.944,0.298,1.002
0.045,0.150,0.940,0.297,0.997
0.047,0.145,0.934,0.296,0.990
0.049,0.142,0.930,0.294,0.985
0.052,0.140,0.928,0.293,0.983
0.054,0.140,0.928,0.290,0.982
0.057,0.142,0.928,0.289,0.982
0.059,0.146,0.930,0.289,0.985
0.062,0.152,0.935,0.288,0.990
0.064,0.158,0.940,0.288,0.996
0.066,0.166,0.945,0.290,1.002
0.068,0.174,0.950,0.292,1.009
0.071,0.183,0.954,0.295,1.015
0.075,0.191,0.958,0.296,1.020
0.075,0.196,0.960,0.297,1.023
0.080,0.201,0.961,0.299,1.026
0.081,0.204,0.962,0.300,1.028
0.083,0.203,0.962,0.300,1.028
0.085,0.202,0.960,0.297,1.025
0.088,0.200,0.960,0.295,1.024
0.090,0.199,0.960,0.297,1.024
0.093,0.198,0.957,0.299,1.022
0.098,0.198,0.956,0.303,1.022
0.098,0.200,0.956,0.305,1.023
0.100,0.201,0.955,0.308,1.023
0.104,0.201,0.955,0.313,1.025
0.105,0.201,0.955,0.319,1.026
0.108,0.200,0.953,0.325,1.026
0.109,0.199,0.951,0.331,1.026
0.113,0.200,0.950,0.337,1.028
0.114,0.199,0.950,0.346,1.031
0.117,0.197,0.951,0.356,1.035
0.119,0.188,0.942,0.361,1.026
0.121,0.181,0.925,0.359,1.009
0.124,0.191,0.919,0.351,1.002
0.126,0.205,0.922,0.341,1.005
0.130,0.211,0.930,0.337,1.012
0.131,0.207,0.939,0.337,1.019
0.134,0.198,0.942,0.338,1.020
0.136,0.189,0.940,0.341,1.017
0.138,0.185,0.935,0.343,1.013
0.141,0.187,0.932,0.343,1.010
0.143,0.192,0.932,0.341,1.011
0.147,0.194,0.931,0.337,1.009
0.148,0.193,0.931,0.334,1.008
0.151,0.192,0.933,0.339,1.012
0.153,0.191,0.934,0.347,1.015
0.156,0.192,0.936,0.349,1.017
0.158,0.193,0.940,0.347,1.021
0.160,0.194,0.943,0.345,1.023
0.163,0.196,0.943,0.339,1.021
0.165,0.196,0.941,0.330,1.016
0.167,0.194,0.941,0.322,1.013
0.170,0.191,0.940,0.313,1.009
0.172,0.189,0.940,0.305,1.006
0.174,0.185,0.937,0.299,1.001
0.177,0.180,0.934,0.295,0.996
0.180,0.175,0.932,0.293,0.992
0.182,0.172,0.930,0.291,0.989
0.184,0.171,0.927,0.291,0.987
0.186,0.168,0.923,0.294,0.983
0.189,0.164,0.918,0.296,0.979
0.191,0.162,0.914,0.297,0.975
0.198,0.157,0.912,0.299,0.972
0.198,0.154,0.910,0.300,0.970
0.199,0.156,0.908,0.288,0.966
0.201,0.158,0.909,0.280,0.964
0.204,0.154,0.910,0.289,0.967
0.206,0.151,0.909,0.299,0.969
0.209,0.152,0.907,0.303,0.968
0.210,0.153,0.906,0.305,0.968
0.213,0.156,0.905,0.309,0.969
0.216,0.159,0.906,0.314,0.972
0.218,0.163,0.910,0.320,0.978
0.220,0.169,0.914,0.327,0.985
0.223,0.173,0.921,0.330,0.994
0.225,0.173,0.930,0.336,1.004
0.227,0.167,0.934,0.339,1.007
0.230,0.157,0.923,0.324,0.991
0.233,0.154,0.914,0.312,0.978
0.235,0.164,0.917,0.323,0.986
0.238,0.180,0.929,0.339,1.005
0.239,0.193,0.943,0.349,1.024
0.250,0.202,0.953,0.354,1.037
0.250,0.206,0.960,0.357,1.044
0.251,0.206,0.961,0.365,1.048
0.251,0.205,0.959,0.378,1.051
0.254,0.206,0.957,0.385,1.052
0.254,0.208,0.955,0.387,1.052
0.257,0.210,0.955,0.389,1.052
0.259,0.210,0.954,0.389,1.052
0.263,0.207,0.954,0.388,1.051
0.264,0.205,0.953,0.385,1.048
0.266,0.200,0.953,0.379,1.044
0.269,0.193,0.949,0.369,1.037
0.271,0.189,0.945,0.355,1.027
0.274,0.185,0.942,0.341,1.019
0.276,0.182,0.939,0.328,1.011
0.281,0.178,0.937,0.316,1.004
0.281,0.175,0.933,0.308,0.998
0.283,0.174,0.931,0.301,0.994
0.286,0.172,0.931,0.293,0.991
0.288,0.171,0.931,0.287,0.989
0.290,0.169,0.932,0.282,0.988
0.293,0.170,0.932,0.278,0.987
0.297,0.170,0.929,0.275,0.984
0.298,0.168,0.927,0.271,0.980
0.300,0.168,0.927,0.269,0.979
0.302,0.167,0.925,0.270,0.978
0.305,0.165,0.923,0.271,0.976
0.307,0.164,0.923,0.277,0.977
0.310,0.163,0.925,0.289,0.982
0.312,0.161,0.926,0.302,0.987
0.315,0.160,0.925,0.313,0.989
0.317,0.160,0.926,0.321,0.993
0.319,0.161,0.927,0.330,0.997
0.321,0.162,0.926,0.337,0.999
0.325,0.162,0.925,0.344,1.000
0.326,0.162,0.924,0.350,1.002
0.329,0.161,0.925,0.355,1.004
0.331,0.161,0.924,0.358,1.004
0.334,0.159,0.922,0.360,1.003
0.336,0.157,0.921,0.362,1.002
0.338,0.156,0.923,0.361,1.004
0.341,0.154,0.923,0.359,1.002
0.343,0.154,0.921,0.356,1.000
0.346,0.156,0.923,0.353,1.000
0.348,0.158,0.924,0.350,1.001
0.350,0.161,0.925,0.346,1.001
0.353,0.163,0.926,0.342,1.000
0.355,0.164,0.927,0.336,0.999
0.358,0.164,0.928,0.329,0.998
0.360,0.165,0.927,0.322,0.995
0.363,0.166,0.928,0.317,0.995
0.365,0.167,0.930,0.313,0.995
0.367,0.167,0.929,0.310,0.994
0.370,0.167,0.930,0.307,0.993
0.372,0.164,0.930,0.305,0.993
0.375,0.161,0.933,0.306,0.995
0.377,0.158,0.934,0.306,0.996
0.380,0.156,0.933,0.305,0.994
0.382,0.155,0.932,0.305,0.993
0.384,0.153,0.932,0.306,0.993
0.387,0.152,0.932,0.308,0.993
0.389,0.152,0.932,0.310,0.994
0.391,0.154,0.932,0.312,0.995
0.394,0.160,0.935,0.315,0.999
0.399,0.164,0.939,0.319,1.005
0.399,0.168,0.941,0.324,1.009
0.401,0.171,0.943,0.329,1.013
0.404,0.174,0.945,0.333,1.018
0.406,0.177,0.949,0.335,1.022
0.409,0.181,0.950,0.337,1.024
0.412,0.185,0.952,0.338,1.027
0.414,0.185,0.955,0.339,1.030
0.416,0.185,0.956,0.341,1.032
0.418,0.188,0.957,0.341,1.033
0.421,0.191,0.958,0.340,1.034
0.423,0.193,0.960,0.340,1.036
0.425,0.193,0.960,0.338,1.036
0.428,0.193,0.958,0.335,1.033
0.430,0.192,0.955,0.332,1.029
0.432,0.189,0.953,0.327,1.026
0.435,0.185,0.951,0.324,1.021
0.437,0.183,0.946,0.320,1.016
0.440,0.178,0.942,0.316,1.010
0.443,0.172,0.938,0.313,1.004
0.445,0.167,0.936,0.311,1.000
0.448,0.163,0.934,0.307,0.997
0.449,0.160,0.932,0.304,0.994
0.452,0.156,0.930,0.303,0.990
0.454,0.153,0.927,0.302,0.987
0.457,0.151,0.927,0.302,0.987
0.460,0.150,0.928,0.304,0.988
0.465,0.150,0.929,0.308,0.990
0.465,0.151,0.931,0.311,0.993
0.466,0.153,0.934,0.314,0.997
0.469,0.158,0.938,0.309,1.000
0.471,0.162,0.941,0.305,1.002
0.474,0.166,0.940,0.315,1.005
0.476,0.173,0.939,0.325,1.009
0.478,0.183,0.942,0.327,1.014
0.482,0.196,0.946,0.327,1.020
0.493,0.204,0.951,0.330,1.027
0.493,0.207,0.957,0.336,1.035
0.494,0.208,0.958,0.342,1.038
0.494,0.206,0.958,0.346,1.039
0.494,0.206,0.958,0.350,1.040
0.500,0.207,0.958,0.351,1.041
0.500,0.209,0.956,0.350,1.040
0.501,0.210,0.955,0.350,1.039
0.503,0.211,0.952,0.353,1.037
0.505,0.214,0.951,0.357,1.038
0.507,0.219,0.948,0.380,1.045
